,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,Cockburn Town,100,TC,1570433682,80,21.46,-71.14,83.12,14.45
142,Lompoc,1,US,1570433682,71,34.64,-120.46,57.99,5.82
143,Emilio Carranza,82,MX,1570433683,82,19.97,-96.61,70.27,4.25
144,Cedar City,1,US,1570433587,44,37.68,-113.06,39.2,4.7
145,Ust-Tsilma,100,RU,1570433683,88,65.44,52.15,36.18,5.17
146,Kodinsk,100,RU,1570433683,91,58.6,99.18,49.91,11.07
147,Mar del Plata,96,AR,1570433684,70,-46.43,-67.52,44.23,4.52
148,Tautira,75,PF,1570433684,73,-17.73,-149.15,77.0,3.36
149,Marzuq,34,YE,1570433684,19,14.4,46.47,86.74,12.86
150,Znamenskoye,11,RU,1570433685,50,57.13,73.82,59.92,3.87
151,De Aar,0,ZA,1570433685,20,-30.65,24.01,64.4,18.34
152,Alofi,100,NU,1570433685,69,-19.06,-169.92,73.4,9.17
153,Mezen,61,RU,1570433686,74,65.85,44.24,37.12,6.71
154,Lebu,0,ET,1570433686,57,8.96,38.73,67.63,14.67
155,Victoria,75,BN,1570433609,66,5.28,115.24,87.8,6.93
156,Coahuayana,62,MX,1570433687,98,18.62,-100.35,69.34,1.52
157,Mahebourg,40,MU,1570433687,61,-20.41,57.7,80.6,19.46
158,Belyy Yar,0,RU,1570433421,55,53.6,91.39,60.8,5.06
159,Male,69,UA,1570433687,62,50.74,33.7,41.71,8.59
160,Imaculada,0,BR,1570433688,79,-7.39,-37.51,66.06,5.79
161,Los Llanos de Aridane,75,ES,1570433688,73,28.66,-17.92,71.6,12.75
162,Mae Sai,20,MM,1570433688,59,20.44,99.89,89.6,6.93
163,Tamworth,0,AU,1570433689,7,-31.09,150.93,93.2,19.46
164,Salcioara,90,RO,1570433689,87,44.72,25.58,50.0,11.41
165,Enshi,100,CN,1570433689,93,30.29,109.48,61.11,2.35
166,Labuhan,100,ID,1570433439,77,-2.54,115.51,83.11,2.66
167,Richards Bay,0,ZA,1570433690,76,-28.77,32.06,73.33,24.45
168,Aswan,0,EG,1570433690,23,24.09,32.9,86.0,11.41
169,Saskylakh,79,RU,1570433690,96,71.97,114.09,13.84,5.57
170,Mount Gambier,90,AU,1570433401,71,-37.83,140.78,55.4,20.8
171,Semey,0,KZ,1570433691,30,50.41,80.25,68.0,2.24
172,Gizo,20,IL,1570433691,51,31.8,34.94,82.4,3.36
173,Airai,0,TL,1570433691,71,-8.93,125.41,76.86,4.92
174,Mafra,100,BR,1570433692,98,-26.12,-49.8,53.01,1.01
175,Sibu,75,MY,1570433692,66,2.29,111.83,87.8,3.36
176,Kerouane,75,GN,1570433692,94,12.23,-12.34,73.4,2.82
177,Poros,40,TR,1570433693,54,40.9,26.22,59.0,16.11
178,Sitka,0,US,1570433693,72,37.17,-99.65,46.99,4.0
179,Chokurdakh,100,RU,1570433693,90,70.62,147.9,16.42,8.25
180,Shubarkuduk,0,KZ,1570433693,21,49.15,56.49,72.58,18.66
181,Muros,20,ES,1570433694,100,42.77,-9.06,61.0,4.7
182,Mehamn,75,NO,1570433400,93,71.03,27.85,39.2,13.87
183,Ngunguru,51,NZ,1570433694,88,-35.62,174.5,57.0,1.99
184,Hamilton,90,CA,1570433605,87,43.26,-79.87,57.0,3.36
185,Anchorage,1,US,1570433486,69,61.22,-149.89,37.99,2.93
186,Maceio,0,BR,1570433699,94,-9.67,-35.74,68.0,5.82
187,Gejiu,16,CN,1570433699,75,23.36,103.16,68.56,3.09
188,Clyde River,90,CA,1570433699,85,70.47,-68.59,23.0,8.05
189,Nabire,100,ID,1570433700,85,-3.36,135.5,72.74,3.33
190,San Policarpo,89,PH,1570433700,81,12.18,125.51,81.56,7.63
191,Kavaratti,20,IN,1570433700,66,10.57,72.64,87.8,4.7
192,Sadovoye,92,RU,1570433701,56,47.78,44.52,49.91,20.62
193,Novobirilyussy,33,RU,1570433701,66,56.95,90.69,59.94,7.29
194,Vanimo,72,PG,1570433701,74,-2.67,141.3,84.28,9.62
195,Iqaluit,75,CA,1570433702,92,63.75,-68.52,33.8,6.93
196,Ahuimanu,90,US,1570433702,78,21.44,-157.84,80.6,2.55
197,Lavrentiya,100,RU,1570433702,98,65.58,-170.99,29.57,5.06
198,Kathmandu,20,NP,1570433512,45,27.71,85.32,82.4,3.36
199,Almeirim,10,BR,1570433703,98,-1.53,-52.58,71.62,1.39
200,Geraldton,75,CA,1570433704,93,49.72,-86.95,44.6,9.17
201,Thunder Bay,75,CA,1570433705,81,48.41,-89.26,46.4,8.05
202,Hammerfest,75,NO,1570433706,86,70.66,23.68,39.2,11.41
203,Kailua,90,US,1570433642,78,21.39,-157.74,80.6,2.55
204,Beyla,100,GN,1570433706,99,8.69,-8.65,70.0,3.2
205,Buckeburg,0,DE,1570433707,86,52.26,9.05,44.01,6.93
206,Shaoguan,10,CN,1570433707,66,24.81,113.59,84.01,3.22
207,Petropavlovsk-Kamchatskiy,40,RU,1570433451,56,53.05,158.65,41.0,6.71
208,Umm Lajj,83,SA,1570433708,74,25.02,37.27,84.58,7.96
209,Gaspe,90,CA,1570433708,81,48.83,-64.48,51.8,6.93
210,Kendari,46,ID,1570433708,67,-3.99,122.52,82.26,5.08
211,Talnakh,90,RU,1570433411,93,69.49,88.39,32.0,6.71
212,Itapuranga,90,BR,1570433709,81,-15.56,-49.95,67.88,3.2
213,Poso,82,ID,1570433709,92,-1.4,120.75,68.22,3.24
214,Baglung,62,NP,1570433709,80,28.27,83.59,59.6,4.97
215,Oktyabrskiy,90,RU,1570433710,75,55.61,37.97,37.4,13.42
216,Hofn,100,IS,1570433710,100,64.25,-15.21,37.12,14.09
217,Komsomolskiy,100,RU,1570433710,77,67.55,63.78,35.19,12.71
218,Gat,20,SN,1570433711,94,14.69,-16.54,78.8,2.24
219,Teshie,75,GH,1570433711,94,5.58,-0.11,75.2,9.17
220,Yerbogachen,100,RU,1570433711,96,61.28,108.01,31.97,7.14
221,Moen,75,BE,1570433712,93,50.77,3.4,53.01,4.7
222,Oranjemund,95,ZA,1570433712,75,-28.55,16.43,59.09,6.35
223,Djambala,100,CG,1570433713,96,-2.55,14.76,68.38,5.73
224,Colares,40,PT,1570433713,87,38.8,-9.45,63.0,5.82
225,Mandalgarh,4,IN,1570433713,44,25.2,75.09,88.36,4.52
226,Praxedis Guerrero,1,MX,1570433714,59,31.37,-106.02,66.99,11.41
227,Madukkur,85,IN,1570433714,41,10.48,79.4,93.01,4.99
228,Atar,24,MR,1570433714,7,20.52,-13.05,95.83,10.33
229,Coari,80,BR,1570433715,81,-4.09,-63.14,77.38,2.1
230,Dzhida,96,RU,1570433715,51,50.68,106.18,49.25,6.4
231,Tibiri,0,NE,1570433715,88,13.57,7.05,75.2,7.56
232,Iglesias,0,ES,1570433716,93,42.3,-3.99,54.0,1.12
233,Nong Khai,20,TH,1570433716,43,17.88,102.75,91.4,4.7
234,Bage,35,IN,1570433716,72,12.95,75.85,82.01,4.59
235,Mgandu,5,TZ,1570433717,30,-5.96,34.11,82.08,13.29
236,Dakar,75,SN,1570433653,83,14.69,-17.45,82.4,9.17
237,Lakatoro,25,VU,1570433717,83,-16.11,167.42,78.41,15.03
238,Kibala,20,TD,1570433718,94,9.11,18.35,75.2,1.52
239,Praia da Vitoria,75,PT,1570433718,94,38.73,-27.07,68.0,17.2
240,Saint Anthony,1,US,1570433718,51,43.97,-111.68,33.01,5.46
241,Acapulco,75,MX,1570433719,88,16.86,-99.88,78.8,3.62
242,Isiro,77,CD,1570433719,49,2.77,27.62,86.74,2.55
243,Mindelo,20,PT,1570433720,100,41.31,-8.72,57.99,3.36
244,Luderitz,0,NA,1570433720,45,-26.65,15.16,66.2,8.05
245,Kaitangata,100,NZ,1570433720,70,-46.28,169.85,54.0,3.0
246,Tuy Hoa,98,VN,1570433720,74,13.08,109.3,81.04,8.37
247,Boa Vista,0,BR,1570433441,78,2.82,-60.67,78.8,1.59
248,Mardin,0,TR,1570433721,47,37.32,40.72,75.2,3.36
249,Ekhabi,100,RU,1570433721,69,53.51,142.97,49.27,17.83
250,Svarstad,0,NO,1570433722,92,59.4,9.97,35.01,3.36
251,Portland,90,US,1570433722,93,43.66,-70.25,64.4,5.82
252,Tessalit,65,ML,1570433722,10,20.2,1.01,96.57,10.69
253,Faanui,91,PF,1570433722,84,-16.48,-151.75,77.33,19.69
254,Tailai,97,CN,1570433723,34,46.39,123.41,52.43,13.2
255,Coihaique,90,CL,1570433723,60,-45.58,-72.07,42.8,8.05
256,Sikasso,99,ML,1570433723,91,11.32,-5.68,72.74,5.7
257,Chuka,0,KE,1570433724,44,-0.33,37.65,75.53,6.08
258,Luba,0,PH,1570433724,78,17.32,120.7,81.59,3.02
259,General Roca,0,AR,1570433724,46,-39.03,-67.58,53.6,13.87
260,Necochea,100,AR,1570433725,68,-38.55,-58.74,57.0,5.99
261,Gorontalo,65,ID,1570433725,72,0.54,123.06,82.22,4.76
262,Lamar,1,US,1570433725,52,38.09,-102.62,46.4,16.11
263,Praia,0,BR,1570433726,60,-20.25,-43.81,69.8,10.29
264,Talara,70,PE,1570433580,87,-4.58,-81.27,63.43,22.59
265,Mangai,100,CD,1570433726,55,-4.07,19.59,87.66,3.11
266,Salinopolis,0,BR,1570433727,80,-0.61,-47.36,80.66,17.72
267,Sorland,75,NO,1570433727,86,67.67,12.69,41.0,1.12
268,Mattru,100,SL,1570433728,93,7.62,-11.83,75.47,0.34
269,Monrovia,75,LR,1570433728,94,6.33,-10.8,77.0,2.91
270,Teguise,40,ES,1570433467,78,29.06,-13.56,71.6,9.17
271,Acaponeta,57,MX,1570433728,95,22.49,-105.36,76.91,1.16
272,Gaur,0,NP,1570433729,53,26.77,85.27,89.21,4.97
273,Bindura,78,ZW,1570433729,22,-17.3,31.33,87.01,5.91
274,Gawler,75,AU,1570433730,67,-34.6,138.75,61.0,18.34
275,Hot Springs,90,US,1570433730,93,34.5,-93.06,64.4,5.82
276,Kannangad,40,IN,1570433730,74,12.31,75.11,87.8,4.7
277,Fortuna,1,US,1570433730,93,40.6,-124.16,48.99,8.05
278,Kontagora,90,NG,1570433731,91,10.4,5.47,74.65,3.2
279,Norman Wells,75,CA,1570433731,84,65.28,-126.83,32.0,5.82
280,Singaparna,100,ID,1570433731,67,-7.35,108.11,77.87,7.87
281,Srinagar,95,IN,1570433662,80,34.07,74.82,47.66,5.32
282,Morant Bay,20,JM,1570433733,74,17.88,-76.41,82.4,11.41
283,Laguna,0,BZ,1570433733,100,16.17,-88.94,77.0,2.75
284,Vestmannaeyjar,75,IS,1570433733,93,63.44,-20.27,48.2,34.45
285,Dudinka,90,RU,1570433733,86,69.41,86.18,32.0,6.71
286,Port Blair,56,IN,1570433734,68,11.67,92.75,83.27,2.75
287,Hatillo,2,PR,1570433532,90,18.49,-66.83,80.01,1.99
288,Innisfail,21,AU,1570433734,82,-17.52,146.03,68.71,1.77
289,Pangnirtung,73,CA,1570433735,81,66.15,-65.72,23.8,4.85
290,Touros,40,BR,1570433735,78,-5.2,-35.46,75.2,10.29
291,Dingle,83,PH,1570433736,85,11.0,122.67,80.15,8.66
292,Paita,76,PE,1570433736,89,-5.09,-81.11,62.01,14.23
293,Kargasok,100,RU,1570433736,73,59.06,80.87,57.26,1.97
294,Jining,100,CN,1570433736,53,35.41,116.58,67.73,3.67
295,Punto Fijo,0,VE,1570433737,77,11.69,-70.21,82.91,18.7
296,Fairbanks,1,US,1570433732,96,64.84,-147.72,33.8,10.29
297,Along,100,IN,1570433737,95,28.17,94.8,63.38,3.09
298,Timbuktu,70,ML,1570433737,27,16.77,-3.01,93.89,9.8
299,Vila Velha,40,BR,1570433738,78,-3.71,-38.6,78.8,13.87
300,Kavieng,61,PG,1570433738,74,-2.57,150.8,84.11,9.82
301,Damphu,0,BT,1570433738,65,27.07,90.11,75.31,4.99
302,Atherton,40,AU,1570433739,57,-17.27,145.48,80.6,16.11
303,Pisco,90,PE,1570433739,82,-13.71,-76.2,61.0,9.17
304,Bergen,20,NO,1570433739,80,60.39,5.33,43.0,16.11
305,East London,0,ZA,1570433740,88,-33.02,27.91,66.2,5.82
306,Cajamarca,63,PE,1570433740,84,-7.16,-78.52,50.49,2.62
307,Nea Alikarnassos,20,GR,1570433740,57,35.33,25.17,80.01,10.29
308,Te Anau,100,NZ,1570433740,85,-45.41,167.72,44.26,7.14
309,Boone,90,US,1570433741,100,36.22,-81.67,66.0,3.47
310,Deputatskiy,0,RU,1570433741,98,69.3,139.9,2.95,1.95
311,Inirida,0,CO,1570433742,92,3.87,-67.92,73.15,1.12
312,Honiara,90,SB,1570433743,83,-9.43,159.96,84.2,11.41
313,Uyuni,0,BO,1570433744,28,-20.46,-66.82,28.4,1.92
314,Amahai,100,ID,1570433744,84,-3.31,129.0,78.41,13.51
315,Minot,1,US,1570433517,70,48.23,-101.3,45.0,11.41
316,Ancud,0,CL,1570433745,86,-41.87,-73.83,39.2,4.7
317,Pacific Grove,1,US,1570433579,33,36.62,-121.92,64.99,4.7
318,Teya,40,MX,1570433464,94,21.05,-89.07,78.01,5.82
319,Westport,90,US,1570433745,77,41.14,-73.36,70.0,17.22
320,Carballo,20,ES,1570433746,100,43.21,-8.69,57.0,4.7
321,Sisian,75,AM,1570433746,40,39.53,46.03,73.4,4.7
322,Brownsville,1,US,1570433557,88,25.91,-97.49,82.99,3.78
323,Pathein,88,MM,1570433746,72,16.78,94.73,84.67,1.59
324,Soe,90,EE,1570433747,93,57.91,26.05,35.6,4.7
325,Tucumcari,1,US,1570433747,87,35.17,-103.73,46.4,3.36
326,Opuwo,6,NA,1570433747,11,-18.06,13.84,93.44,3.65
327,Khani,75,GE,1570433748,82,41.96,42.96,62.6,8.05
328,Cherskiy,100,RU,1570433748,78,68.75,161.3,15.53,4.72
329,Eston,5,CA,1570433748,80,51.15,-108.75,39.99,13.87
330,Shalinskoye,11,RU,1570433749,67,55.72,93.76,59.83,9.84
331,Xuddur,73,SO,1570433749,55,4.12,43.89,83.65,14.56
332,Hami,0,CN,1570433749,14,42.84,93.51,73.28,3.4
333,Synya,80,RU,1570433750,81,65.37,58.04,36.77,4.05
334,Champerico,100,MX,1570433750,97,16.38,-93.6,67.36,3.74
335,The Valley,20,AI,1570433751,74,18.22,-63.06,84.2,9.17
336,Tubajon,76,PH,1570433751,72,10.33,125.56,84.64,9.73
337,Fillan,75,NO,1570433751,81,63.6,8.98,46.0,5.82
338,Kurumkan,100,RU,1570433751,88,54.33,110.32,21.98,7.09
339,Sergeyevka,22,KZ,1570433752,41,53.88,67.42,65.63,7.81
340,Boden,75,SE,1570433752,75,65.83,21.69,41.0,6.93
341,Omsukchan,100,RU,1570433753,95,62.53,155.8,2.7,6.53
342,Seka,9,ET,1570433755,53,7.6,36.72,75.37,2.8
343,Grindavik,0,IS,1570433510,71,63.84,-22.43,50.0,25.28
344,Isangel,30,VU,1570433757,78,-19.55,169.27,78.8,6.93
345,Moose Factory,75,CA,1570433757,87,51.26,-80.61,48.2,14.99
346,Toktogul,0,KG,1570433758,86,41.87,72.95,66.99,1.01
347,Piacabucu,37,BR,1570433758,82,-10.41,-36.43,75.04,8.86
348,Seymchan,0,RU,1570433758,72,62.93,152.39,12.69,4.16
349,Tahe,91,CN,1570433758,91,52.34,124.71,35.15,6.58
350,Lahat,6,ID,1570433759,43,-3.78,103.55,85.54,7.36
351,Vilcun,90,CL,1570433759,100,-38.65,-72.23,48.2,3.36
352,Marsaxlokk,40,MT,1570433759,64,35.84,14.54,73.4,14.99
353,Borovskoy,1,KZ,1570433760,43,53.8,64.15,64.35,8.52
354,Esil,0,KZ,1570433760,21,51.96,66.41,67.28,8.93
355,Sharjah,0,AE,1570433760,47,25.36,55.39,95.0,12.75
356,Ucluelet,100,CA,1570433761,94,48.94,-125.55,52.0,1.99
357,Khorixas,0,NA,1570433761,8,-20.37,14.96,88.13,7.7
358,Kalemie,90,CD,1570433761,38,-5.95,29.2,82.62,13.85
359,Beidao,91,CN,1570433762,53,34.57,105.89,56.39,4.09
360,Sobolevo,85,RU,1570433762,67,54.43,31.9,37.21,6.58
361,Ipameri,80,BR,1570433762,90,-17.72,-48.16,69.43,1.63
362,Tasiilaq,100,GL,1570433763,93,65.61,-37.64,39.2,4.43
363,Bulgan,0,MN,1570433763,55,48.81,103.53,47.59,3.4
364,Sabang,97,PH,1570433763,69,13.8,121.11,87.01,8.01
365,Saurimo,6,AO,1570433764,43,-9.66,20.4,91.89,1.01
366,Sabzevar,0,IR,1570433764,11,36.21,57.68,78.48,5.88
367,Porto Murtinho,29,BR,1570433764,98,-21.7,-57.88,60.48,3.06
368,Sola,0,TZ,1570433473,26,-3.17,33.8,85.39,8.97
369,Castelbuono,100,IT,1570433765,62,37.93,14.09,71.01,5.01
370,Seryshevo,100,RU,1570433765,90,51.09,128.38,43.31,2.08
371,Batangafo,87,CF,1570433765,68,7.3,18.29,85.68,1.34
372,Jertih,75,MY,1570433766,88,5.74,102.5,80.6,3.36
373,Havre-Saint-Pierre,90,CA,1570433766,93,50.23,-63.6,44.6,4.7
374,Srednekolymsk,0,RU,1570433766,90,67.46,153.71,13.54,6.69
375,Black River,20,JM,1570433767,83,18.03,-77.85,78.8,3.36
376,Port Macquarie,75,AU,1570433768,82,-31.43,152.91,79.0,5.82
